date,japanese,reading,english,example_sentence
2026-09-17,要件定義,ようけんていぎ,Requirements definition,要件定義をしっかり行う。
2026-09-17,設計,せっけい,Design,システムの設計を始めます。
2026-09-17,実装,じっそう,Implementation,機能の実装が完了しました。
2026-09-17,テスト,テスト,Test,単体テストを実行する。
2026-09-17,デプロイ,デプロイ,Deploy,本番環境にデプロイします。
2026-09-17,障害,しょうがい,Failure / Incident,障害が発生しました。
2026-09-17,保守,ほしゅ,Maintenance,システムの保守を行う。
2026-09-17,開発,かいはつ,Development,新機能を開発中です。
2026-09-17,仕様,しよう,Specification,仕様書を確認してください。
2026-09-17,納品,のうひん,Delivery,来週納品予定です。
2026-09-18,データベース,データベース,Database,データベースを確認します。
2026-09-18,サーバー,サーバー,Server,サーバーを確認します。
2026-09-18,クラウド,クラウド,Cloud,クラウドを確認します。
2026-09-18,API,エーピーアイ,API,APIを確認します。
2026-09-18,認証,にんしょう,Authentication,認証を確認します。
2026-09-18,認可,にんか,Authorization,認可を確認します。
2026-09-18,暗号化,あんごうか,Encryption,暗号化を確認します。
2026-09-18,負荷,ふか,Load / Traffic,負荷を確認します。
2026-09-18,分散,ぶんさん,Distributed,分散を確認します。
2026-09-18,冗長,じょうちょう,Redundancy,冗長を確認します。
